animal,contrast,genotype,0.2,0.5,0.8
SH006,0.125,S,0.8960176991150443,0.8636363636363636,0.7580645161290323
SH006,0.25,S,0.95662100456621,0.93,0.8686868686868687
SH006,1.0,S,0.9807280513918629,0.956989247311828,0.9457364341085271
SH008,-1.0,S,0.01449275362318836,0.028169014084507005,0.006134969325153339
SH008,-0.25,S,0.1466666666666666,0.15714285714285714,0.06666666666666665
SH008,-0.125,S,0.21875,0.4716981132075472,0.16167664670658688
SH008,-0.0625,S,0.5901639344262295,0.6727272727272727,0.452887537993921
SH008,0.0,S,0.6762177650429799,0.5423728813559322,0.3333333333333333
SH008,0.0625,S,0.9057750759878419,0.9420289855072463,0.7590361445783133
SH008,0.125,S,0.9140127388535032,0.9024390243902439,0.8591549295774648
SH008,0.25,S,0.8976897689768977,0.9107142857142857,0.8051948051948052
SH008,1.0,S,0.9069767441860465,0.9107142857142857,0.8316831683168316
SH013,-1.0,S,0.0738255033557047,0.06944444444444442,0.05600000000000005
SH013,-0.25,S,0.21621621621621623,0.12878787878787878,0.0963081861958266
SH013,-0.125,S,0.4054054054054054,0.33333333333333337,0.15920398009950254
SH013,-0.0625,S,0.5234899328859061,0.4260869565217391,0.2826797385620915
SH013,0.0,S,0.62625,0.5111111111111111,0.5615183246073299
SH013,0.0625,S,0.8394863563402889,0.6218487394957983,0.5857142857142857
SH013,0.125,S,0.9100145137880987,0.7251908396946565,0.8170731707317073
SH013,0.25,S,0.9697428139183056,0.9099099099099099,0.8516483516483516
SH013,1.0,S,0.9788838612368024,0.9076923076923077,0.9673202614379085
SH014,-1.0,S,0.027027027027026973,0.0092592592592593,0.032061068702290085
SH014,-0.25,S,0.07784431137724546,0.10999999999999999,0.04457652303120352
SH014,-0.125,S,0.11801242236024845,0.19696969696969702,0.07886904761904767
SH014,-0.0625,S,0.17307692307692313,0.40522875816993464,0.1200631911532386
SH014,0.0,S,0.6092233009708737,0.4956140350877193,0.48516129032258065
SH014,0.0625,S,0.869894099848714,0.864,0.7668711656441718
SH014,0.125,S,0.9232,0.9064748201438849,0.8390804597701149
SH014,0.25,S,0.9521531100478469,0.952054794520548,0.9515151515151515
SH014,1.0,S,0.9856,0.9844961240310077,0.972972972972973
SH015,-1.0,S,0.1900826446280992,0.15463917525773196,0.03607214428857719
SH015,-0.25,S,0.2586206896551724,0.25,0.12068965517241381
SH015,-0.125,S,0.4444444444444444,0.32432432432432434,0.13424124513618674
SH015,-0.0625,S,0.4666666666666667,0.3614457831325302,0.2094339622641509
